"IDCycle","Department","DataSource","Municipality","Longitude.DD","Latitude.DD","Altitude.masl","LotArea.m2","CycleDuration.days","Density.plants.m2","Yield.kg.m2","IrrigVolumen.l.m2","Rainfall.mm","TotalN.kg.m2","P2O5.kg.m2","K2O.kg.m2"
"P167_L-02_1","Boyaca","FollowUps","VillaDeLeyva",-73.55084,5.62346,2113,2000,183,2.8,7.91,529.2,0,0.06827,0.04728,0.09996
"P167_L-02_2","Boyaca","FollowUps","VillaDeLeyva",-73.55084,5.62346,2113,2000,184,2.5,7.06,533.61,0,0.10716,0.06015,0.20547
"P167_L-02_4","Boyaca","FollowUps","VillaDeLeyva",-73.55084,5.62346,2113,2000,173,2.5,4.94,358.96,0,0.04819,0.02154,0.04562
"P171_L-01_1","Boyaca","FollowUps","SantaSofia",-73.59302,5.61935,2035,5544,159,3.4,11.12,1284.46,0,0.10784,0.07657,0.10345
"P171_L-01_2","Boyaca","FollowUps","SantaSofia",-73.59302,5.61935,2035,5544,199,3.4,12.3,1522.33,0,0.0651,0.07632,0.1062
"P171_L-01_3","Boyaca","FollowUps","SantaSofia",-73.59302,5.61935,2035,5544,176,3.4,11.11,844.84,0,0.01693,0.00512,0.0311
"P171_L-01_4","Boyaca","FollowUps","SantaSofia",-73.59302,5.61935,2035,5544,198,2.9,14.87,1818.51,0,0.08313,0.08174,0.1403
"P172_L-01_1","Boyaca","FollowUps","SantaSofia",-73.604985,5.717169,2427,1676,163,2.9,12.27,256.53,0,0.05992,0.10331,0.05492
"P172_L-01_2","Boyaca","FollowUps","SantaSofia",-73.604985,5.717169,2427,1676,194,2.7,10.35,284.69,0,0.01834,0.04306,0.03705
"P172_L-01_3","Boyaca","FollowUps","SantaSofia",-73.604985,5.717169,2427,1676,190,2.7,9.88,330.07,0,0.03583,0.04696,0.06562
"P172_L-01_4","Boyaca","FollowUps","SantaSofia",-73.604985,5.717169,2427,1676,154,2.3,7.46,369.05,0,0.04761,0.10188,0.10131
